customer_id,company_name,industry,company_size,country,signup_date,subscription_plan,monthly_charges_usd,contract_type,tenure_months,total_logins_90d,days_since_last_login,avg_session_duration_min,features_used_pct,integrations_connected,api_calls_30d,data_storage_used_pct,reports_generated_30d,team_members_active,support_tickets_90d,avg_ticket_resolution_hrs,nps_score,csat_score,total_revenue_lifetime_usd,payment_delays_6m,discount_applied_pct,has_dedicated_csm,onboarding_completed,training_sessions_attended,engagement_score,health_score,churned,churn_date,churn_reason,revenue_at_risk,customer_lifetime_days,login_frequency,risk_sagment,nps_category,support_burden,revenue_per_member,is_high_value,signup_year,signup_month,signup_quater,engagmet_vs_tenure
CUST-00011,FinanceCloud_10,Healthcare,1000+,United Kingdom,2024-03-16,Starter,32.27,Quarterly,10,45,2,14.9,63.0,1,949,50.0,14,2,2,38.7,10.0,4.3,319.92,0,0,0,1,2,27.6,55.8,0,,,0.0,291.0,Very High,Stable,Promoter,0.2,16.14,0,2024,3,1,2.76
CUST-00012,LogisticsLabs_11,Retail,501-1000,Japan,2023-01-21,Starter,38.28,Annual,23,47,1,22.2,42.9,1,71,49.2,4,8,1,4.4,9.0,3.5,843.71,1,0,0,1,1,24.8,53.2,0,,,0.0,711.0,Very High,Stable,Promoter,0.043,4.78,0,2023,1,1,1.08
CUST-00013,LegalWorks_12,Consulting,11-50,United Kingdom,2024-08-13,Starter,41.41,Quarterly,5,43,9,20.5,84.0,2,391,38.9,8,7,2,15.6,3.0,3.8,203.12,0,15,1,1,1,36.2,51.6,0,,,0.0,141.0,Very High,Stable,Detractor,0.4,5.92,0,2024,8,3,7.24
CUST-00014,RetailSolutions_13,Legal,51-200,United Kingdom,2022-10-04,Starter,27.65,Quarterly,27,36,2,5.1,57.0,1,116,32.4,9,4,2,34.6,9.0,5.0,821.2,1,0,0,1,0,22.2,54.3,0,,,0.0,820.0,High,Stable,Promoter,0.074,6.91,0,2022,10,4,0.82
CUST-00015,HealthSystems_14,Technology,201-500,Netherlands,2023-04-05,Starter,37.73,Monthly,21,47,4,12.7,58.8,2,206,46.9,8,5,2,29.6,7.0,3.6,862.25,0,15,1,0,1,28.3,52.0,0,,,0.0,637.0,Very High,Stable,Passive,0.095,7.55,0,2023,4,2,1.35
CUST-00016,EducationGroup_15,Media,1000+,United States,2022-01-22,Professional,81.05,Quarterly,35,46,6,21.8,67.4,0,267,57.2,8,3,3,7.9,9.0,4.9,2683.9,0,20,0,1,1,28.7,55.3,1,2024-11-01,Switched Internally,972.5999999999999,1014.0,Very High,Stable,Promoter,0.086,27.02,1,2022,1,1,0.82
CUST-00017,HealthLabs_16,Finance,11-50,United States,2022-09-10,Starter,43.61,Monthly,28,37,2,10.9,85.4,2,2,39.3,10,6,2,23.1,5.0,2.8,1187.03,1,0,1,1,3,33.2,51.1,0,,,0.0,844.0,High,Stable,Detractor,0.071,7.27,0,2022,9,3,1.19
CUST-00018,EducationInc_17,Technology,201-500,Brazil,2024-01-18,Enterprise,199.98,Annual,11,40,15,23.0,86.1,0,219,30.5,10,6,0,49.6,9.0,3.9,2268.96,1,30,0,1,1,32.9,55.9,0,,,0.0,349.0,High,Stable,Promoter,0.0,33.33,1,2024,1,1,2.99
CUST-00019,MediaSystems_18,Finance,11-50,Brazil,2024-05-06,Enterprise,194.14,Monthly,8,40,28,27.4,31.1,1,185,25.5,10,4,4,27.9,5.0,4.6,1326.9,0,20,1,1,5,22.5,45.0,0,,,0.0,240.0,High,At Risk,Detractor,0.5,48.54,1,2024,5,2,2.81
CUST-00020,MediaHub_19,Healthcare,11-50,Canada,2023-04-20,Free,0.0,Annual,20,47,5,25.0,50.0,1,551,27.4,17,1,1,15.3,7.0,3.7,0.0,0,25,0,0,2,27.4,53.3,0,,,0.0,622.0,Very High,Stable,Passive,0.05,0.0,0,2023,4,2,1.37
CUST-00021,EducationWorks_20,Logistics,51-200,Canada,2024-12-18,Enterprise,204.31,Quarterly,0,47,24,20.8,37.1,2,1060,27.8,7,6,2,14.3,9.0,4.0,0.0,0,25,1,1,2,25.1,50.1,0,,,0.0,14.0,Very High,Stable,Promoter,2.0,34.05,1,2024,12,4,25.1
CUST-00022,RetailSolutions_21,Finance,201-500,France,2023-05-26,Professional,77.01,Quarterly,19,33,21,11.7,12.4,0,55,16.0,11,3,2,12.9,7.0,4.0,1519.1,1,5,0,1,0,10.5,43.2,0,,,0.0,586.0,High,At Risk,Passive,0.105,25.67,0,2023,5,2,0.55
CUST-00023,LegalCloud_22,Logistics,51-200,India,2023-12-01,Professional,74.89,Monthly,13,29,1,12.0,42.1,3,329,55.3,8,4,2,24.0,6.0,4.4,1210.05,0,5,1,1,1,23.7,51.4,0,,,0.0,397.0,High,Stable,Detractor,0.154,18.72,0,2023,12,4,1.82
CUST-00024,MediaSystems_23,Technology,51-200,United States,2024-09-02,Starter,37.97,Monthly,4,29,1,8.8,49.2,2,161,32.4,4,6,1,12.3,7.0,3.9,162.25,1,15,0,1,0,22.5,51.5,0,,,0.0,121.0,High,Stable,Passive,0.25,6.33,0,2024,9,3,5.62
CUST-00025,MediaCloud_24,Healthcare,1000+,United States,2022-07-09,Professional,88.65,Annual,30,43,6,15.2,15.0,4,2191,59.5,8,5,3,5.1,7.0,5.0,2199.36,0,25,0,0,1,21.7,51.1,0,,,0.0,907.0,Very High,Stable,Passive,0.1,17.73,1,2022,7,3,0.72
CUST-00026,RetailWorks_25,Healthcare,11-50,Canada,2024-08-15,Starter,33.21,Monthly,5,33,7,18.4,95.6,2,757,43.7,9,3,2,46.3,7.0,4.1,176.48,0,0,0,1,2,37.3,57.8,0,,,0.0,139.0,High,Stable,Passive,0.4,11.07,0,2024,8,3,7.46
CUST-00027,EducationWorks_26,Healthcare,51-200,Brazil,2023-11-18,Professional,87.54,Monthly,13,36,4,20.7,77.4,2,62,20.4,13,3,1,15.3,7.0,4.4,1202.27,1,0,0,1,0,33.8,59.0,0,,,0.0,410.0,High,Stable,Passive,0.077,29.18,1,2023,11,4,2.6
CUST-00028,FinanceInc_27,Technology,11-50,Brazil,2024-08-15,Free,0.0,Quarterly,5,43,3,14.0,88.0,2,230,58.2,9,1,1,18.6,6.0,3.5,0.0,0,10,0,1,1,35.4,54.8,0,,,0.0,139.0,Very High,Stable,Detractor,0.2,0.0,0,2024,8,3,7.08
CUST-00029,TechLabs_28,Technology,11-50,Netherlands,2023-07-17,Professional,84.76,Annual,18,44,5,11.9,10.0,1,58,70.7,9,6,3,15.7,3.0,3.6,1685.65,0,10,1,1,1,13.4,42.0,0,,,0.0,534.0,Very High,At Risk,Detractor,0.167,14.13,1,2023,7,3,0.74
CUST-00030,RetailInc_29,Retail,201-500,Brazil,2024-04-11,Starter,36.6,Monthly,9,39,11,13.8,93.5,3,773,51.3,9,3,2,4.8,8.0,5.0,285.84,0,15,0,0,4,38.3,58.6,0,,,0.0,265.0,High,Stable,Passive,0.222,12.2,0,2024,4,2,4.26
CUST-00031,FinanceInc_30,Healthcare,1000+,Germany,2023-10-09,Free,0.0,Annual,15,47,0,6.9,87.9,3,333,18.0,15,2,3,39.5,10.0,2.1,0.0,0,15,0,1,2,36.0,54.4,0,,,0.0,450.0,Very High,Stable,Promoter,0.2,0.0,0,2023,10,4,2.4
CUST-00032,LogisticsGroup_31,Finance,51-200,United Kingdom,2022-01-21,Professional,85.93,Quarterly,35,50,12,21.0,51.3,3,521,52.0,9,4,2,5.8,2.0,3.7,2972.99,0,0,1,1,0,31.2,48.2,0,,,0.0,1076.0,Very High,At Risk,Detractor,0.057,21.48,1,2022,1,1,0.89
CUST-00033,LegalHub_32,Finance,201-500,India,2024-04-20,Professional,87.32,Monthly,8,38,26,20.6,78.2,0,427,54.3,7,2,3,29.2,7.0,2.9,651.28,0,10,0,1,1,30.0,47.2,0,,,0.0,256.0,High,At Risk,Passive,0.375,43.66,1,2024,4,2,3.75
CUST-00034,HealthHub_33,Legal,1-10,India,2022-06-16,Professional,77.99,Quarterly,31,39,14,7.2,17.5,2,100,21.4,6,2,2,12.1,7.0,4.5,2752.65,0,10,1,1,2,15.4,47.2,0,,,0.0,930.0,High,At Risk,Passive,0.065,38.99,0,2022,6,2,0.5
CUST-00035,EducationLabs_34,Energy,11-50,Canada,2023-01-23,Free,0.0,Annual,23,33,2,17.1,65.6,1,6,30.5,7,1,1,22.9,1.0,4.4,0.0,1,0,0,1,0,27.4,49.5,1,2024-08-31,Competitor,0.0,586.0,High,At Risk,Detractor,0.043,0.0,0,2023,1,1,1.19
CUST-00036,RetailInc_35,Retail,51-200,United States,2023-08-24,Enterprise,199.37,Annual,16,41,0,5.3,38.0,2,1020,30.1,10,4,3,65.7,8.0,3.4,2598.11,0,25,0,1,1,20.3,49.1,0,,,0.0,496.0,Very High,At Risk,Passive,0.188,49.84,1,2023,8,3,1.27
CUST-00037,ConsultingCorp_36,Finance,1-10,Japan,2022-11-12,Professional,82.8,Monthly,26,38,6,24.4,18.1,2,48,74.9,2,5,2,13.0,5.0,3.8,2130.06,2,5,0,1,0,20.2,47.3,0,,,0.0,781.0,High,At Risk,Detractor,0.077,16.56,1,2022,11,4,0.78
CUST-00038,EnergyLabs_37,Technology,11-50,United Kingdom,2022-01-14,Starter,32.92,Annual,36,45,31,36.3,39.7,4,783,35.1,12,2,0,6.4,8.0,4.1,1066.8,0,15,0,1,1,34.0,53.6,0,,,0.0,1083.0,Very High,Stable,Passive,0.0,16.46,0,2022,1,1,0.94
CUST-00039,HealthDigital_38,Consulting,51-200,United Kingdom,2022-08-30,Professional,89.49,Quarterly,28,34,17,17.8,48.5,1,106,20.3,5,1,2,16.1,7.0,5.0,2606.12,1,10,0,1,4,23.4,50.9,0,,,0.0,855.0,High,Stable,Passive,0.071,89.49,1,2022,8,3,0.84
CUST-00040,LogisticsGroup_39,Technology,1-10,Germany,2024-02-16,Professional,81.35,Monthly,11,40,8,18.5,27.6,2,957,10.2,6,6,2,54.0,7.0,2.9,1036.05,1,10,0,1,3,21.2,47.2,0,,,0.0,320.0,High,At Risk,Passive,0.182,13.56,1,2024,2,1,1.93
CUST-00041,EnergyLabs_40,Healthcare,11-50,Australia,2023-07-19,Free,0.0,Quarterly,17,40,1,10.8,45.9,0,450,22.1,12,3,3,25.3,9.0,3.0,0.0,1,5,0,1,2,19.5,48.6,0,,,0.0,532.0,High,At Risk,Promoter,0.176,0.0,0,2023,7,3,1.15
CUST-00042,EducationSolutions_41,Healthcare,51-200,United States,2024-06-16,Professional,77.25,Monthly,7,44,12,11.9,92.5,7,254,41.7,2,11,2,11.5,7.0,4.0,442.86,1,0,1,1,2,46.5,58.9,0,,,0.0,199.0,Very High,Stable,Passive,0.286,7.02,0,2024,6,2,6.64
CUST-00043,FinanceSolutions_42,Finance,51-200,France,2022-04-02,Enterprise,199.03,Monthly,33,42,16,27.7,23.5,2,536,17.1,6,3,1,17.6,9.0,4.3,7722.07,0,0,0,1,3,23.0,51.8,0,,,0.0,1005.0,Very High,Stable,Promoter,0.03,66.34,1,2022,4,2,0.7
CUST-00044,EducationSystems_43,Technology,501-1000,United States,2024-08-13,Professional,78.29,Monthly,5,39,27,12.1,44.5,5,159,28.0,9,4,2,19.4,9.0,4.4,329.1,0,15,1,1,1,29.8,52.4,0,,,0.0,141.0,High,Stable,Promoter,0.4,19.57,0,2024,8,3,5.96
CUST-00045,RetailInc_44,Logistics,51-200,United States,2023-05-24,Starter,38.63,Monthly,19,30,9,12.8,54.3,3,271,80.1,10,4,3,16.5,5.0,4.1,702.97,0,5,0,1,0,27.1,49.4,0,,,0.0,588.0,High,At Risk,Detractor,0.158,9.66,0,2023,5,2,1.43
CUST-00046,FinanceWorks_45,Technology,51-200,United Kingdom,2024-02-15,Enterprise,203.41,Quarterly,11,46,7,14.8,30.0,1,867,85.2,10,8,2,24.9,10.0,4.4,2506.47,0,15,0,1,0,19.4,52.0,0,,,0.0,321.0,Very High,Stable,Promoter,0.182,25.43,1,2024,2,1,1.76
CUST-00047,EducationLabs_46,Education,1000+,India,2022-02-04,Starter,38.17,Monthly,35,35,9,14.9,63.9,2,4,48.6,4,4,1,7.3,6.0,2.9,1502.47,1,0,0,0,0,28.7,50.0,0,,,0.0,1062.0,High,At Risk,Detractor,0.029,9.54,0,2022,2,1,0.82
CUST-00048,LegalSystems_47,Technology,201-500,Netherlands,2022-07-25,Enterprise,202.32,Quarterly,29,35,28,30.7,86.5,4,133,22.6,8,8,1,17.3,7.0,4.8,5888.56,1,5,1,1,4,42.9,57.4,0,,,0.0,891.0,High,Stable,Passive,0.034,25.29,1,2022,7,3,1.48
CUST-00049,LegalCorp_48,Technology,11-50,France,2024-10-22,Free,0.0,Monthly,2,35,9,24.1,65.1,2,676,50.0,6,2,0,12.4,1.0,3.9,0.0,2,10,0,1,1,31.5,49.8,0,,,0.0,71.0,High,At Risk,Detractor,0.0,0.0,0,2024,10,4,15.75
CUST-00050,RetailCorp_49,Energy,1-10,Japan,2024-10-18,Professional,91.79,Quarterly,2,32,2,29.0,73.5,1,635,43.4,4,4,1,4.1,7.0,3.9,226.86,0,15,0,1,4,32.5,57.0,1,2025-01-07,Too Expensive,1101.48,81.0,High,Stable,Passive,0.5,22.95,1,2024,10,4,16.25
CUST-00051,FinanceCloud_50,Technology,201-500,United States,2023-07-20,Professional,93.67,Annual,17,31,10,36.7,54.2,3,89,22.1,6,3,4,12.4,7.0,4.3,1843.54,1,20,0,1,4,33.9,53.3,0,,,0.0,531.0,High,Stable,Passive,0.235,31.22,1,2023,7,3,1.99
CUST-00052,EnergyGroup_51,Logistics,51-200,United States,2023-12-04,Starter,37.4,Monthly,13,43,21,21.0,25.3,3,2036,25.1,10,2,4,46.3,6.0,3.9,619.74,2,25,0,0,3,23.8,46.0,1,2024-12-29,Business Closed,448.79999999999995,391.0,Very High,At Risk,Detractor,0.308,18.7,0,2023,12,4,1.83
CUST-00053,ConsultingSystems_52,Retail,201-500,Canada,2023-02-06,Professional,91.28,Quarterly,23,49,8,7.5,92.2,1,564,61.7,7,5,1,63.8,8.0,3.8,1737.83,1,5,0,0,0,33.3,55.4,0,,,0.0,695.0,Very High,Stable,Passive,0.043,18.26,1,2023,2,1,1.45
CUST-00054,ConsultingSystems_53,Technology,201-500,United States,2023-12-31,Professional,84.16,Quarterly,12,37,6,9.0,92.4,4,232,77.5,11,3,1,35.3,9.0,4.1,974.29,1,0,1,1,2,38.6,59.2,0,,,0.0,367.0,High,Stable,Promoter,0.083,28.05,1,2023,12,4,3.22
CUST-00055,EducationLabs_54,Consulting,51-200,France,2022-06-11,Free,0.0,Quarterly,31,35,13,16.1,29.7,4,216,43.9,9,1,3,12.8,2.0,2.7,0.0,0,20,1,1,0,24.6,42.6,0,,,0.0,935.0,High,At Risk,Detractor,0.097,0.0,0,2022,6,2,0.79
CUST-00056,HealthCloud_55,Healthcare,1000+,Australia,2022-07-21,Professional,92.69,Monthly,29,36,10,13.5,22.1,5,369,11.2,3,5,2,12.7,6.0,3.0,3004.81,0,25,1,1,1,21.4,46.4,0,,,0.0,895.0,High,At Risk,Detractor,0.069,18.54,1,2022,7,3,0.74
CUST-00057,LegalInc_56,Legal,51-200,Netherlands,2024-09-22,Professional,90.63,Quarterly,3,31,0,12.1,46.7,4,18,61.0,5,3,3,35.0,6.0,3.7,351.14,1,5,1,1,1,27.2,50.8,0,,,0.0,101.0,High,Stable,Detractor,1.0,30.21,1,2024,9,3,9.07
CUST-00058,TechInc_57,Technology,1-10,United States,2022-09-27,Starter,43.84,Monthly,27,34,12,21.1,67.4,2,626,12.7,8,1,3,4.6,10.0,3.5,1210.1,0,25,0,1,1,31.1,53.4,0,,,0.0,827.0,High,Stable,Promoter,0.111,43.84,0,2022,9,3,1.15
CUST-00059,HealthCorp_58,Legal,201-500,Canada,2024-03-26,Enterprise,206.46,Monthly,9,20,5,15.5,64.6,4,35,67.8,6,5,7,11.5,8.0,4.2,1557.4,0,15,1,1,3,31.3,51.3,0,,,0.0,281.0,High,Stable,Passive,0.778,41.29,1,2024,3,1,3.48
CUST-00060,LogisticsWorks_59,Technology,11-50,Canada,2023-04-01,Enterprise,209.58,Quarterly,21,29,28,11.0,65.9,4,529,59.7,7,3,1,6.9,9.0,3.9,4838.82,0,0,0,1,1,31.5,52.6,0,,,0.0,641.0,High,Stable,Promoter,0.048,69.86,1,2023,4,2,1.5
CUST-00061,MediaSystems_60,Retail,201-500,United States,2024-10-13,Starter,34.86,Monthly,3,36,35,22.1,85.2,1,809,22.1,5,1,3,10.1,8.0,3.2,130.75,0,10,0,1,2,34.0,48.9,0,,,0.0,80.0,High,At Risk,Passive,1.0,34.86,0,2024,10,4,11.33
CUST-00062,LogisticsWorks_61,Logistics,1000+,Germany,2022-10-23,Professional,79.18,Quarterly,26,38,5,8.0,83.4,3,1178,44.6,9,6,0,18.2,8.0,5.0,1956.59,3,0,1,0,1,34.1,59.3,0,,,0.0,801.0,High,Stable,Passive,0.0,13.2,1,2022,10,4,1.31
CUST-00063,LegalCloud_62,Energy,201-500,United Kingdom,2023-12-21,Starter,31.1,Annual,12,32,34,24.7,44.7,3,79,6.2,6,5,3,25.2,9.0,5.0,304.68,0,0,1,1,5,28.3,51.2,0,,,0.0,377.0,High,Stable,Promoter,0.25,6.22,0,2023,12,4,2.36
CUST-00064,RetailCloud_63,Energy,51-200,United Kingdom,2022-12-04,Professional,91.88,Annual,25,42,3,18.1,48.2,1,684,49.5,9,4,3,28.5,8.0,2.7,2435.62,0,0,0,1,1,24.4,48.9,0,,,0.0,759.0,Very High,At Risk,Passive,0.12,22.97,1,2022,12,4,0.98
CUST-00065,TechInc_64,Logistics,51-200,United Kingdom,2024-05-28,Enterprise,195.12,Monthly,7,37,11,19.0,31.8,2,2045,78.7,6,5,1,16.2,6.0,4.8,1471.14,1,0,1,0,0,22.0,50.8,0,,,0.0,218.0,High,Stable,Detractor,0.143,39.02,1,2024,5,2,3.14
CUST-00066,EnergyGroup_65,Legal,11-50,United States,2024-12-12,Starter,35.83,Annual,1,38,0,10.9,27.9,3,35,15.3,10,3,1,13.7,7.0,3.8,40.45,0,0,0,1,0,21.0,51.2,0,,,0.0,20.0,High,Stable,Passive,1.0,11.94,0,2024,12,4,21.0
CUST-00067,EducationInc_66,Technology,11-50,Canada,2024-03-02,Enterprise,201.45,Quarterly,10,41,1,21.3,28.5,2,14,72.9,6,6,1,10.4,9.0,3.8,1988.36,0,25,1,1,4,22.3,54.6,0,,,0.0,305.0,Very High,Stable,Promoter,0.1,33.57,1,2024,3,1,2.23
CUST-00068,RetailSystems_67,Healthcare,51-200,United States,2022-08-05,Professional,81.73,Monthly,29,36,19,16.3,79.4,1,119,44.7,7,6,1,26.7,4.0,3.3,2133.06,1,0,0,1,3,31.0,48.6,1,2024-12-16,Business Closed,980.76,864.0,High,At Risk,Detractor,0.034,13.62,1,2022,8,3,1.07
CUST-00069,HealthDigital_68,Healthcare,201-500,United States,2024-02-03,Starter,41.69,Monthly,11,37,22,23.1,59.7,1,114,91.3,11,4,1,39.2,7.0,4.3,372.58,0,0,0,1,1,28.0,51.4,0,,,0.0,333.0,High,Stable,Passive,0.091,10.42,0,2024,2,1,2.55
CUST-00070,TechGroup_69,Finance,201-500,United States,2022-07-07,Enterprise,211.08,Quarterly,30,35,7,39.4,33.8,3,192,36.1,9,7,1,32.4,2.0,3.6,6458.0,0,30,0,1,0,30.0,49.0,0,,,0.0,909.0,High,At Risk,Detractor,0.033,30.15,1,2022,7,3,1.0
CUST-00071,EnergyCorp_70,Finance,11-50,United States,2023-01-15,Professional,85.98,Annual,24,45,4,7.8,71.0,1,1285,45.8,7,2,4,21.7,7.0,4.1,2228.79,1,20,0,1,2,27.6,51.2,0,,,0.0,717.0,Very High,Stable,Passive,0.167,42.99,1,2023,1,1,1.15
CUST-00072,EnergyInc_71,Retail,51-200,United Kingdom,2023-05-08,Professional,79.46,Quarterly,20,49,5,36.9,45.2,1,574,8.9,11,2,1,14.0,7.0,3.9,1716.31,0,10,1,1,2,29.8,53.8,0,,,0.0,604.0,Very High,Stable,Passive,0.05,39.73,1,2023,5,2,1.49
CUST-00073,RetailCloud_72,Technology,201-500,United States,2024-11-30,Professional,83.51,Annual,1,40,20,20.0,40.1,4,5,66.9,6,3,2,8.3,9.0,3.5,99.64,1,0,0,1,2,28.9,51.3,0,,,0.0,32.0,High,Stable,Promoter,2.0,27.84,1,2024,11,4,28.9
CUST-00074,ConsultingLabs_73,Media,51-200,Canada,2022-01-15,Starter,32.17,Monthly,36,32,2,22.4,54.7,2,341,47.3,6,6,1,55.2,8.0,3.9,1021.5,0,0,1,1,4,28.1,54.4,0,,,0.0,1082.0,High,Stable,Passive,0.028,5.36,0,2022,1,1,0.78
CUST-00075,HealthHub_74,Technology,51-200,Australia,2022-03-06,Starter,31.07,Monthly,34,39,3,29.1,25.6,3,1042,26.9,10,6,6,11.5,7.0,4.2,1252.78,1,15,0,1,1,25.6,49.3,0,,,0.0,1032.0,High,At Risk,Passive,0.176,5.18,0,2022,3,1,0.75
CUST-00076,HealthCloud_75,Healthcare,201-500,Germany,2023-06-05,Enterprise,196.06,Monthly,19,41,15,33.1,82.3,1,382,78.8,6,3,5,71.6,7.0,4.9,3505.19,1,10,1,1,3,37.0,54.2,0,,,0.0,576.0,Very High,Stable,Passive,0.263,65.35,1,2023,6,2,1.95
CUST-00077,EnergySolutions_76,Retail,201-500,France,2023-10-10,Professional,84.86,Annual,15,43,27,2.9,12.0,3,107,39.0,7,2,1,20.5,4.0,3.8,1500.8,2,0,0,1,0,15.4,42.2,0,,,0.0,449.0,Very High,At Risk,Detractor,0.067,42.43,1,2023,10,4,1.03
CUST-00078,ConsultingHub_77,Logistics,51-200,United Kingdom,2024-12-22,Enterprise,200.04,Monthly,0,49,0,11.9,51.1,0,1539,18.9,5,7,2,21.6,7.0,3.8,0.0,2,0,0,1,1,22.2,49.8,0,,,0.0,10.0,Very High,At Risk,Passive,2.0,28.58,1,2024,12,4,22.2
CUST-00079,LegalSolutions_78,Media,501-1000,Canada,2023-08-16,Starter,37.22,Monthly,17,32,16,30.9,73.6,3,183,32.5,3,7,1,1.6,2.0,3.1,563.32,1,10,0,0,1,37.2,49.5,0,,,0.0,504.0,High,At Risk,Detractor,0.059,5.32,0,2023,8,3,2.19
CUST-00080,MediaHub_79,Education,11-50,France,2023-01-27,Professional,80.38,Monthly,23,48,10,8.8,65.9,2,215,22.7,7,2,0,7.1,6.0,3.8,1575.9,0,0,0,1,1,29.1,52.5,0,,,0.0,705.0,Very High,Stable,Detractor,0.0,40.19,1,2023,1,1,1.27
CUST-00081,RetailLabs_80,Technology,1000+,United Kingdom,2023-02-23,Enterprise,202.62,Annual,22,41,2,15.8,10.9,1,220,16.6,8,1,2,7.9,9.0,4.4,5667.17,1,10,1,1,1,14.3,49.9,0,,,0.0,678.0,Very High,At Risk,Promoter,0.091,202.62,1,2023,2,1,0.65
CUST-00082,TechLabs_81,Retail,1-10,Australia,2022-10-16,Starter,25.05,Annual,27,43,14,12.3,57.9,1,251,19.6,12,5,2,20.3,7.0,3.0,854.36,0,5,0,0,4,25.4,49.8,0,,,0.0,808.0,Very High,At Risk,Passive,0.074,5.01,0,2022,10,4,0.94
CUST-00083,ConsultingInc_82,Technology,1-10,United Kingdom,2023-01-14,Starter,43.85,Monthly,24,48,13,8.4,35.3,1,616,54.2,3,2,3,53.6,6.0,2.4,1046.46,0,10,0,1,2,19.2,43.1,0,,,0.0,718.0,Very High,At Risk,Detractor,0.125,21.92,0,2023,1,1,0.8
CUST-00084,MediaDigital_83,Finance,501-1000,United Kingdom,2022-08-19,Professional,84.15,Annual,28,31,1,8.3,38.4,2,188,67.5,5,3,1,24.8,10.0,3.8,2585.88,1,20,1,0,0,19.9,51.1,0,,,0.0,866.0,High,Stable,Promoter,0.036,28.05,1,2022,8,3,0.71
